customer_id,payment_id,order_id,amount,currency,payment_method,payment_status,failure_reason,failure_code,failure_source,failure_step,customer_age_days,previous_payment_count,previous_success_count,previous_failure_count,customer_success_rate,average_transaction_amount,customer_lifetime_value,days_since_last_payment,retry_count,previous_recovery_count,subscription_status,subscription_age_days,time_of_day,day_of_week,merchant_category,customer_segment,historical_recovery_rate,previous_intervention,recovery_action,recovery_probability,recovered,recovered_amount
cus_0,pay_0,ord_0,7670.0,INR,netbanking,failed,network_timeout,network_timeout,customer,payment_authentication,779,4,3,1,0.75,6929.494110140112,73737.85211450502,157,1,0,none,656,7,2,health,vip,0.46545421969944856,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.6824479300545103,0,0.0
cus_1,pay_1,ord_1,3920.0,INR,upi,failed,card_declined,card_declined,customer,payment_authentication,760,8,7,1,0.875,4272.989862359379,34263.789748072704,83,1,0,active,503,11,6,saas,new,0.5061118062493223,CUSTOMER_NOTIFICATION,REMINDER,0.6533697319899421,0,0.0
cus_2,pay_2,ord_2,1370.0,INR,netbanking,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,872,3,3,0,1.0,1193.404992773773,5747.531608331185,53,0,1,past_due,610,21,3,retail,regular,0.794787829251356,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.7999853437912158,1,1370.0
cus_3,pay_3,ord_3,220.0,INR,upi,failed,network_timeout,network_timeout,customer,payment_authentication,131,10,7,3,0.7,183.28565679318498,2161.9363636704848,129,0,1,none,516,17,0,education,regular,0.7951234276171348,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.7543163758175856,1,220.0
cus_4,pay_4,ord_4,1520.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,482,4,2,2,0.5,1600.5043272985674,6093.924080221729,142,0,0,none,663,16,6,education,vip,0.5005947647678534,NO_ACTION,RETRY,0.5342168390631324,0,0.0
cus_5,pay_5,ord_5,290.0,INR,wallet,failed,network_timeout,network_timeout,customer,payment_authentication,1364,7,6,1,0.8571428571428571,321.570386283956,1655.6707073041239,172,0,2,active,460,7,1,retail,new,0.8043991632704665,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.7608365552908063,0,0.0
cus_6,pay_6,ord_6,170.0,INR,netbanking,failed,card_declined,card_declined,customer,payment_authentication,1464,7,3,4,0.42857142857142855,168.72479624924796,2592.587774705941,164,0,1,none,989,7,0,retail,regular,0.5776487878055624,HUMAN_ESCALATION,REMINDER,0.6637099586977991,1,170.0
cus_7,pay_7,ord_7,3450.0,INR,netbanking,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,4,5,5,0,1.0,3798.730906849472,26646.126837492717,5,1,1,active,948,12,3,retail,new,0.9825009977922724,NO_ACTION,RETRY,0.8311115765587784,1,3450.0
cus_8,pay_8,ord_8,5840.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,945,7,5,2,0.7142857142857143,4102.37081399459,89726.41393200695,146,0,1,none,799,0,4,education,new,0.9539915303626536,NO_ACTION,RETRY,0.8628932541846626,1,5840.0
cus_9,pay_9,ord_9,260.0,INR,upi,failed,network_timeout,network_timeout,customer,payment_authentication,208,7,6,1,0.8571428571428571,233.14590146520968,3792.2613835469624,31,0,1,none,91,2,3,education,new,0.7405309935137597,HUMAN_ESCALATION,RETRY,0.8219574893302329,1,260.0
cus_10,pay_10,ord_10,1400.0,INR,card,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,803,4,3,1,0.75,1491.970376433711,11669.594255638567,150,0,0,active,231,13,4,retail,new,0.5184117498627272,RETRY,NO_ACTION,0.5372564662004654,0,0.0
cus_11,pay_11,ord_11,1780.0,INR,wallet,failed,network_timeout,network_timeout,customer,payment_authentication,13,4,4,0,1.0,1941.209465721997,16849.453195331378,144,0,0,past_due,363,18,6,saas,new,0.7451150017076338,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.9415516715664448,1,1780.0
cus_12,pay_12,ord_12,1350.0,INR,upi,failed,network_timeout,network_timeout,customer,payment_authentication,1134,5,5,0,1.0,1102.5033880791002,8450.024144406423,41,0,1,active,125,9,4,education,vip,0.9554807460449076,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.8625163058357825,1,1350.0
cus_13,pay_13,ord_13,460.0,INR,netbanking,failed,card_declined,card_declined,customer,payment_authentication,1479,5,3,2,0.6,413.647725731079,5004.6794314684275,79,0,0,none,906,7,5,saas,regular,0.43124380204255164,HUMAN_ESCALATION,REMINDER,0.559180699743462,1,460.0
cus_14,pay_14,ord_14,6840.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,185,6,4,2,0.6666666666666666,5717.012673064877,75840.66621096258,138,0,1,past_due,274,16,4,retail,regular,0.7016149109060494,RETRY,REMINDER,0.7554778970849219,1,6840.0
cus_15,pay_15,ord_15,470.0,INR,card,failed,card_declined,card_declined,customer,payment_authentication,616,9,8,1,0.8888888888888888,582.3825474752822,6953.197127014664,154,2,0,none,774,4,3,health,regular,0.5640965923071026,RETRY,REMINDER,0.5933973122591966,1,470.0
cus_16,pay_16,ord_16,260.0,INR,upi,failed,upi_error,upi_error,customer,payment_authentication,291,8,4,4,0.5,228.18384133372996,3519.980037279753,156,0,0,none,904,2,3,education,regular,0.3403422026218197,CUSTOMER_NOTIFICATION,RETRY,0.47798641561182176,0,0.0
cus_17,pay_17,ord_17,460.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,294,4,2,2,0.5,565.4312115999555,4319.411714937975,63,1,0,active,288,17,6,education,vip,0.5075546329673393,REMINDER,RETRY,0.5908502348891009,1,460.0
cus_18,pay_18,ord_18,2930.0,INR,netbanking,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,1189,2,2,0,1.0,3604.432140287206,16767.735357663598,14,0,0,none,724,11,2,saas,regular,0.9518149385774847,HUMAN_ESCALATION,REMINDER,0.9145731533731325,1,2930.0
cus_19,pay_19,ord_19,1380.0,INR,upi,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,178,6,5,1,0.8333333333333334,1401.2834024733409,8984.30779794066,175,1,1,none,663,2,2,health,regular,0.833093665490967,NO_ACTION,RETRY,0.8828951091541012,1,1380.0
cus_20,pay_20,ord_20,840.0,INR,netbanking,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,186,5,4,1,0.8,1026.8931118696432,4057.1736680476556,155,0,0,none,639,15,5,education,new,0.667128810990489,RETRY,REMINDER,0.57995380994533,0,0.0
cus_21,pay_21,ord_21,3060.0,INR,card,failed,network_timeout,network_timeout,customer,payment_authentication,556,7,4,3,0.5714285714285714,2282.76413322933,25812.572457835257,38,0,1,none,1,22,4,education,regular,0.9092841304030813,NO_ACTION,RETRY,0.8351174732370041,1,3060.0
cus_22,pay_22,ord_22,2520.0,INR,wallet,failed,expired_card,expired_card,customer,payment_authentication,464,7,5,2,0.7142857142857143,1954.7590207242558,35345.2255906248,104,0,1,past_due,549,8,0,retail,regular,0.51521476766267,CUSTOMER_NOTIFICATION,ALTERNATIVE_PAYMENT_METHOD,0.6001006137466669,0,0.0
cus_23,pay_23,ord_23,180.0,INR,netbanking,failed,card_declined,card_declined,customer,payment_authentication,1463,1,1,0,1.0,169.9254840989138,297.42494724050533,170,0,0,none,532,16,4,retail,new,0.6176484676646135,NO_ACTION,REMINDER,0.6630130515968625,0,0.0
cus_24,pay_24,ord_24,3030.0,INR,netbanking,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,592,13,11,2,0.8461538461538461,3378.673131951491,66187.46180992457,58,0,1,none,4,16,0,retail,new,0.6068737300762141,HUMAN_ESCALATION,REMINDER,0.6521885462384283,0,0.0
cus_25,pay_25,ord_25,5890.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,823,7,6,1,0.8571428571428571,7552.919595832456,57438.15677271768,142,1,2,past_due,918,17,3,retail,regular,0.6884991743132907,CUSTOMER_NOTIFICATION,RETRY,0.7288934170906404,1,5890.0
cus_26,pay_26,ord_26,1600.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,155,10,8,2,0.8,1568.186778506066,33194.041334892754,87,0,0,none,759,11,2,health,vip,0.7343542913251324,CUSTOMER_NOTIFICATION,REMINDER,0.5868755128796775,0,0.0
cus_27,pay_27,ord_27,1430.0,INR,card,failed,network_timeout,network_timeout,customer,payment_authentication,531,5,3,2,0.6,1007.333652016312,15152.497178302197,175,0,0,active,618,1,1,saas,regular,0.9188991693371663,HUMAN_ESCALATION,RETRY,0.8997348822082397,1,1430.0
cus_28,pay_28,ord_28,12010.0,INR,card,failed,card_declined,card_declined,customer,payment_authentication,309,8,3,5,0.375,9714.916783890521,147016.74645531565,73,1,0,none,363,3,4,education,regular,0.24254874805353827,RETRY,NO_ACTION,0.4084750344116273,0,0.0
cus_29,pay_29,ord_29,890.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,547,3,3,0,1.0,856.8948047269116,4253.726573662367,29,0,2,none,909,13,1,health,new,0.7430893118554303,RETRY,REMINDER,0.808572286972566,1,890.0
cus_30,pay_30,ord_30,1530.0,INR,upi,failed,network_timeout,network_timeout,customer,payment_authentication,456,7,6,1,0.8571428571428571,1704.4046211840366,21848.331972029246,171,1,2,none,425,12,2,saas,new,0.65400232871938,REMINDER,RETRY,0.7002170313787593,0,0.0
cus_31,pay_31,ord_31,2520.0,INR,wallet,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,176,6,6,0,1.0,2650.836228307838,17951.34865684812,63,0,1,active,75,0,1,education,regular,0.8404654319938639,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.7981137437623392,1,2520.0
cus_32,pay_32,ord_32,1900.0,INR,card,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,832,8,6,2,0.75,2328.761499668263,24048.764884121465,49,0,0,active,999,5,0,saas,new,0.882430434487026,CUSTOMER_NOTIFICATION,REMINDER,0.7022137581139875,0,0.0
cus_33,pay_33,ord_33,1380.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,775,7,5,2,0.7142857142857143,1185.9020404795933,21099.24104586947,35,2,1,none,533,7,2,education,regular,0.4907677299379769,CUSTOMER_NOTIFICATION,NO_ACTION,0.41203719416044826,0,0.0
cus_34,pay_34,ord_34,1980.0,INR,upi,failed,upi_error,upi_error,customer,payment_authentication,778,8,3,5,0.375,2027.515811409982,26459.288441865003,73,1,0,none,589,19,4,retail,new,0.6947085856142006,NO_ACTION,RETRY,0.704916296393464,1,1980.0
cus_35,pay_35,ord_35,8680.0,INR,card,failed,card_declined,card_declined,customer,payment_authentication,636,9,6,3,0.6666666666666666,6827.264482695673,165710.9244596091,149,0,1,past_due,684,17,4,education,new,0.5902661836331039,CUSTOMER_NOTIFICATION,REMINDER,0.6753410693249025,1,8680.0
cus_36,pay_36,ord_36,4050.0,INR,card,failed,card_declined,card_declined,customer,payment_authentication,787,5,5,0,1.0,4402.937959251082,30973.073664997806,61,0,2,active,164,20,6,health,regular,0.8026372638714298,ALTERNATIVE_PAYMENT_METHOD,REMINDER,0.6605368086686616,1,4050.0
cus_37,pay_37,ord_37,1680.0,INR,upi,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,1093,2,1,1,0.5,1944.4508426135521,7651.154120530543,48,0,0,active,33,5,2,health,regular,0.5547143964887908,REMINDER,RETRY,0.5843896887627249,1,1680.0
cus_38,pay_38,ord_38,760.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,392,3,1,2,0.3333333333333333,766.117840660999,5844.444343529646,79,0,1,none,457,20,2,saas,new,0.7194238921103946,NO_ACTION,RETRY,0.8614740446585283,1,760.0
cus_39,pay_39,ord_39,870.0,INR,upi,failed,card_declined,card_declined,customer,payment_authentication,288,7,6,1,0.8571428571428571,842.9170960511432,11542.88703999114,94,1,0,past_due,866,16,6,retail,regular,0.5852680938148581,CUSTOMER_NOTIFICATION,NO_ACTION,0.5495023620227374,0,0.0
cus_40,pay_40,ord_40,4680.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,1016,11,6,5,0.5454545454545454,3797.9105780982604,105427.82160458206,148,0,1,active,993,1,1,education,new,0.5009091889216786,ALTERNATIVE_PAYMENT_METHOD,REMINDER,0.6244817186775979,1,4680.0
cus_41,pay_41,ord_41,370.0,INR,netbanking,failed,upi_error,upi_error,customer,payment_authentication,206,9,6,3,0.6666666666666666,466.363598198369,6592.120925536297,34,0,1,active,256,13,4,health,regular,0.902453234307492,REMINDER,RETRY,0.8364842595252969,1,370.0
cus_42,pay_42,ord_42,19990.0,INR,upi,failed,network_timeout,network_timeout,customer,payment_authentication,527,8,5,3,0.625,21263.397983436636,144133.69697346166,58,0,0,past_due,987,6,5,retail,regular,0.6889828032588442,CUSTOMER_NOTIFICATION,RETRY,0.7283778990326633,0,0.0
cus_43,pay_43,ord_43,1750.0,INR,card,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,872,9,7,2,0.7777777777777778,2080.92373444524,18130.136287743357,127,1,1,active,864,21,3,saas,regular,0.6834885992795257,HUMAN_ESCALATION,REMINDER,0.7140605697202497,0,0.0
cus_44,pay_44,ord_44,460.0,INR,netbanking,failed,network_timeout,network_timeout,customer,payment_authentication,877,9,8,1,0.8888888888888888,328.6934527489584,7654.066442494022,77,0,0,none,817,10,5,saas,regular,0.5273973866103804,RETRY,RETRY,0.8019531112553344,1,460.0
cus_45,pay_45,ord_45,2170.0,INR,netbanking,failed,upi_error,upi_error,customer,payment_authentication,1113,10,6,4,0.6,1846.204258152064,44327.845404810476,133,1,0,past_due,279,11,2,saas,new,0.5995176570737182,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.4917646205426747,1,2170.0
cus_46,pay_46,ord_46,810.0,INR,card,failed,expired_card,expired_card,customer,payment_authentication,708,13,10,3,0.7692307692307693,801.4430046695446,19765.647240904396,79,0,0,none,733,22,0,saas,regular,0.445500470064021,HUMAN_ESCALATION,ALTERNATIVE_PAYMENT_METHOD,0.563411567674551,1,810.0
cus_47,pay_47,ord_47,1190.0,INR,card,failed,card_declined,card_declined,customer,payment_authentication,746,8,3,5,0.375,1215.867129828383,11857.111040042446,20,0,1,active,981,7,0,health,regular,0.24001140244207486,CUSTOMER_NOTIFICATION,NO_ACTION,0.3122436208634119,0,0.0
cus_48,pay_48,ord_48,400.0,INR,upi,failed,upi_error,upi_error,customer,payment_authentication,67,7,6,1,0.8571428571428571,377.19331043431356,4823.545540692945,155,1,1,past_due,581,14,3,health,new,0.7373009979693002,RETRY,RETRY,0.7182116044466893,1,400.0
cus_49,pay_49,ord_49,1420.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,1185,10,8,2,0.8,1281.367935214107,24364.18943899033,123,1,1,none,887,20,3,saas,new,0.6186583635636402,NO_ACTION,RETRY,0.6332457765279247,1,1420.0
cus_50,pay_50,ord_50,220.0,INR,card,failed,network_timeout,network_timeout,customer,payment_authentication,356,5,3,2,0.6,213.44895175469145,1674.4291495529396,24,3,0,past_due,276,13,3,health,regular,0.48496468695732875,REMINDER,NO_ACTION,0.2553397133330819,0,0.0
cus_51,pay_51,ord_51,990.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,1261,7,5,2,0.7142857142857143,910.3880217120438,11594.94160565867,29,2,0,none,856,11,2,education,regular,0.4679662980415489,NO_ACTION,REMINDER,0.6404580191849568,0,0.0
cus_52,pay_52,ord_52,790.0,INR,netbanking,failed,card_declined,card_declined,customer,payment_authentication,967,1,1,0,1.0,571.9832211866268,3131.236446162005,61,3,0,none,177,7,3,education,new,0.32152292151479195,REMINDER,NO_ACTION,0.3598307010978573,0,0.0
cus_53,pay_53,ord_53,1090.0,INR,upi,failed,network_timeout,network_timeout,customer,payment_authentication,1375,7,4,3,0.5714285714285714,1216.0561738587476,12278.553468029784,171,0,0,active,687,6,6,retail,regular,0.9378108691732364,HUMAN_ESCALATION,RETRY,0.8591928083375107,1,1090.0
cus_54,pay_54,ord_54,840.0,INR,upi,failed,card_declined,card_declined,customer,payment_authentication,1312,9,6,3,0.6666666666666666,976.7341122274266,8002.404499191382,53,2,1,none,362,20,3,retail,regular,0.5086722854222265,REMINDER,REMINDER,0.5529757296875856,0,0.0
cus_55,pay_55,ord_55,1870.0,INR,netbanking,failed,expired_card,expired_card,customer,payment_authentication,567,4,3,1,0.75,1658.2215409189253,12672.39716482973,158,0,0,none,401,9,5,retail,new,0.6304686886817487,ALTERNATIVE_PAYMENT_METHOD,ALTERNATIVE_PAYMENT_METHOD,0.6308015002562085,1,1870.0
cus_56,pay_56,ord_56,4390.0,INR,upi,failed,card_declined,card_declined,customer,payment_authentication,591,5,4,1,0.8,5617.245195673339,24456.072246948293,87,1,0,none,734,7,5,health,regular,0.901248862666513,ALTERNATIVE_PAYMENT_METHOD,REMINDER,0.6427736732792327,0,0.0
cus_57,pay_57,ord_57,2590.0,INR,upi,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,1356,8,5,3,0.625,3346.672628704695,37171.77018700091,36,2,0,none,458,10,0,health,regular,0.3931395596394023,ALTERNATIVE_PAYMENT_METHOD,NO_ACTION,0.38655517904863507,0,0.0
cus_58,pay_58,ord_58,6630.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,1325,10,7,3,0.7,6902.762616441694,136559.44033980244,20,1,2,none,843,1,1,education,vip,0.9814774468379819,HUMAN_ESCALATION,RETRY,0.8414099885864171,1,6630.0
cus_59,pay_59,ord_59,1100.0,INR,card,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,1063,11,7,4,0.6363636363636364,1294.0988782982768,20837.8780597997,61,0,0,active,587,5,3,retail,regular,0.7279366002795451,CUSTOMER_NOTIFICATION,REMINDER,0.6629699810253518,1,1100.0
cus_60,pay_60,ord_60,2500.0,INR,upi,failed,card_declined,card_declined,customer,payment_authentication,1385,11,7,4,0.6363636363636364,2568.300546520329,55227.64708837618,40,0,1,past_due,512,21,5,retail,regular,0.8422719299282968,RETRY,REMINDER,0.7685231372178354,1,2500.0
cus_61,pay_61,ord_61,2600.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,937,12,9,3,0.75,2227.3159437541667,55634.70470256114,107,1,0,none,267,19,6,saas,regular,0.5132462091071401,HUMAN_ESCALATION,NO_ACTION,0.5330876653466023,0,0.0
cus_62,pay_62,ord_62,5720.0,INR,upi,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,38,6,6,0,1.0,4244.323014826861,50798.49912565447,176,0,1,none,644,21,5,retail,regular,0.6848641488035143,RETRY,RETRY,0.8477601977894357,1,5720.0
cus_63,pay_63,ord_63,870.0,INR,netbanking,failed,network_timeout,network_timeout,customer,payment_authentication,831,9,8,1,0.8888888888888888,788.7943057887161,12176.995524608388,145,1,1,none,256,19,6,saas,regular,0.8172705203956272,HUMAN_ESCALATION,RETRY,0.7085048726372097,1,870.0
cus_64,pay_64,ord_64,3980.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,555,6,5,1,0.8333333333333334,3228.6686958101955,38790.25347128917,55,1,0,past_due,748,0,6,health,new,0.845778782962401,HUMAN_ESCALATION,REMINDER,0.7901005642899985,0,0.0
cus_65,pay_65,ord_65,770.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,30,8,6,2,0.75,965.0968014452342,8386.977049530144,169,0,0,none,485,10,6,health,regular,0.7019574895024536,REMINDER,REMINDER,0.6483918950794848,1,770.0
cus_66,pay_66,ord_66,1020.0,INR,upi,failed,insufficient_funds,insufficient_funds,customer,payment_authentication,834,5,3,2,0.6,1308.3977565409768,5023.285866520676,174,0,0,none,531,3,4,education,regular,0.28461010583189494,REMINDER,NO_ACTION,0.29960901289561437,0,0.0
cus_67,pay_67,ord_67,1260.0,INR,card,failed,temporary_bank_failure,temporary_bank_failure,customer,payment_authentication,840,5,2,3,0.4,1283.984019951438,12189.444266914958,75,0,1,active,528,0,5,health,regular,0.7006986727312854,ALTERNATIVE_PAYMENT_METHOD,RETRY,0.7655124329734769,1,1260.0
cus_68,pay_68,ord_68,2840.0,INR,card,failed,network_timeout,network_timeout,customer,payment_authentication,1098,7,5,2,0.7142857142857143,2947.692462580242,17296.96700173761,87,0,1,past_due,42,5,6,education,regular,0.8620383145956445,HUMAN_ESCALATION,RETRY,0.7297781147156825,1,2840.0
